project_id,name,coingecko-id,description,token_image_url,ticker,website_url,webapp_url,contract_url,coingecko_url,llama_url,dune_url,rekt_url,whitepaper_url,github_url,docs_url,twitter_url,discord_url,telegram_url,medium_url,tag1,tag2,tag3,tag4
1,1inch,1inch,"DeFi / DEX aggregator that is interested in high liquidity and optimal rates on Ethereum, Binance Smart Chain, Optimism, Polygon",https://assets.coingecko.com/coins/images/13469/thumb/1inch-token.png?1608803028,1INCH,https://1inch.exchange/#/,https://app.1inch.io/#/1/swap/ETH/DAI,,https://www.coingecko.com/en/coins/1inch,https://defillama.com/protocol/1inch,https://dune.xyz/projects/1inch,,,https://github.com/1inch,,https://twitter.com/1inch,https://discord.com/invite/FZADkCZ,https://t.me/OneInchNetwork,https://blog.1inch.io/,dex,amm,,
2,AAVE,aave,"Aave is a decentralized money market protocol where people can lend out their assets to earn interest, or borrow various cryptocurrencies against their deposited collateral. The protocol has a native token AAVE, which is used by its community to make collective decisions on the direction of the protocol.",https://assets.coingecko.com/coins/images/12645/thumb/AAVE.png?1601374110,AAVE,https://aave.com/,https://app.aave.com/markets,https://docs.aave.com/developers/the-core-protocol/aave-token,https://www.coingecko.com/en/coins/aave,https://defillama.com/protocol/aave,https://dune.xyz/projects/aave,,https://github.com/aave/aave-protocol/blob/master/docs/Aave_Protocol_Whitepaper_v1_0.pdf,https://github.com/aave,https://docs.aave.com/developers/,https://twitter.com/AaveAave,https://discord.com/invite/adPfquZDZc,https://t.me/Aavesome,https://medium.com/aave,yield,,,
3,Alchemix,alchemix,"Alchemix Finance is a DeFi protocol that allows people to create yield-backed synthetic tokens in exchange for providing their cryptocurrencies as collateral. Visitors can for example deposit their DAI into the protocol, and receive (a lesser amount of) alUSD tokens, equally pegged to $1. The protocol uses the collateral provided by its visitors to collect yield and dynamically repay the depositors' debt, essentially giving its users an immediate claim on the future yield of their tokens. The protocols native token is ALCX, used to govern the development and directional decisions of Alchemix.",https://app.alchemix.fi/static/media/AlchemixLogo.af98983b.png,ALCX,https://alchemix.fi/,https://app.alchemix.fi/,https://etherscan.io/token/0xdbdb4d16eda451d0503b854cf79d55697f90c8df,https://www.coingecko.com/en/coins/alchemix,https://defillama.com/protocol/alchemix,,,https://alchemix.fi/c76d1d663f6c8247b86a8fca83d5bd1b.pdf,https://github.com/alchemix-finance,,https://twitter.com/alchemixfi,https://discord.com/invite/zAd6dzgwaj,,https://alchemixfi.medium.com/,yield,,,
4,Alpha,alpha-finance,Alpha Homora V2 is a leveraged yield farming and leveraged liquidity providing protocol.,https://assets.coingecko.com/coins/images/12738/thumb/AlphaToken_256x256.png?1617160876,ALPHA,https://homora-v2.alphafinance.io/,https://homora-v2.alphafinance.io/,https://etherscan.io/token/0xa1faa113cbe53436df28ff0aee54275c13b40975,https://www.coingecko.com/en/coins/alpha-finance,https://defillama.com/protocol/alpha-finance,,,https://github.com/AlphaFinanceLab/alpha-lending-smart-contract/blob/master/documents/Alpha%20Lending%20Whitepaper.pdf,https://github.com/AlphaFinanceLab,https://alphafinancelab.gitbook.io/alpha-finance-lab/,https://twitter.com/alphafinancelab,https://discord.com/invite/Z2vuKDT,https://t.me/AlphaFinanceLab,https://blog.alphafinance.io/,yield,,,
5,Airswap,airswap,AirSwap is an open developer community focused on decentralized trading systems. AirSwap technology powers peer-to-peer swap networks using de facto standard RFQ and Last Look protocols making it the weapon of choice for traditional market makers entering the decentralized financial system.,https://assets.coingecko.com/coins/images/1019/thumb/AST.png?1547034939,AST,https://www.airswap.io/,https://trader.airswap.io/,https://docs.airswap.io/contract-deployments,https://www.coingecko.com/en/coins/airswap,,,,https://www.airswap.io/whitepaper.htm,https://github.com/airswap,https://docs.airswap.io/,https://twitter.com/airswap,https://discord.com/invite/ecQbV7H,https://t.me/airswap,https://airswap.medium.com/,dex,amm,,
6,Badger,badger-dao,Badger is a decentralized autonomous organization (DAO) with a single purpose: build the products and infrastructure necessary to accelerate Bitcoin as collateral across other blockchains.,https://assets.coingecko.com/coins/images/13287/thumb/badger_dao_logo.jpg?1607054976,BADGER,https://badger.finance/,https://app.badger.finance/,https://etherscan.io/token/0x3472a5a71965499acd81997a54bba8d852c6e53d,https://www.coingecko.com/en/coins/badger-dao,https://defillama.com/protocol/badger-dao,https://dune.xyz/projects/badgerdao,,,https://github.com/Badger-Finance,https://badger-finance.gitbook.io/badger-finance/badger-dao/overview,https://twitter.com/badgerdao,https://discord.com/invite/xSPFHHS,https://t.me/badger_dao,https://badgerdao.medium.com/,yield,,,
7,Balancer,balancer,"Balancer is a decentralized exchange protocol. It allows people to depost their crypto tokens into various liquidity pools, or to trade tokens provided by others with the help of the protocol's self-balancing automated market maker mechanism. The protocol's native token is BAL, used for governing the protocol's development by the community.",https://assets.coingecko.com/coins/images/11683/large/Balancer.png?1592792958,BAL,https://balancer.fi/,https://app.balancer.fi/#/trade,,https://www.coingecko.com/en/coins/balancer,https://defillama.com/protocol/balancer,https://dune.xyz/projects/balancer,,https://balancer.fi/whitepaper.pdf,https://github.com/balancer-labs,,https://twitter.com/BalancerLabs,https://discord.com/invite/ARJWaeF,,https://medium.com/balancer-protocol,dex,amm,,
8,Bancor,bancor,"Bancor is a decentralized exchange. It is distinguished from other DEX protocols by its automated market maker, which lets people deposit liquidity in a single-sided fashion, whereas many other platforms require its visitors to provide liquidity with their tokens in an inherently two-sided way. Bancor's automated market maker mechanism achieves this through its native token, BNT, which is dynamically minted and co-invested by the protocol when visitors deposit their collateral as liquidity. Besides having BNT as the unitary counterpart asset of exchange for trading on the platform, the protocol also offers a unique solution against Impermanent Loss to its liquidity providers.",https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C/logo.png,BNT,https://bancor.network/,https://app.bancor.network/eth/data,https://docs.bancor.network/ethereum-contracts/addresses,https://www.coingecko.com/en/coins/bancor-network,https://defillama.com/protocol/bancor,https://dune.xyz/projects/bancor,,https://storage.googleapis.com/website-bancor/2018/04/01ba8253-bancor_protocol_whitepaper_en.pdf,https://github.com/bancorprotocol,https://docs.bancor.network/,https://twitter.com/Bancor,https://discord.com/invite/2ynKu8h5uV,https://t.me/bancor,https://bancor.medium.com/,yield,,,
9,Bancor,bancor,"Bancor is a decentralized exchange. It is distinguished from other DEX protocols by its automated market maker, which lets people deposit liquidity in a single-sided fashion, whereas many other platforms require its visitors to provide liquidity with their tokens in an inherently two-sided way. Bancor's automated market maker mechanism achieves this through its native token, BNT, which is dynamically minted and co-invested by the protocol when visitors deposit their collateral as liquidity. Besides having BNT as the unitary counterpart asset of exchange for trading on the platform, the protocol also offers a unique solution against Impermanent Loss to its liquidity providers.",https://s2.coinmarketcap.com/static/img/coins/200x200/1727.png,BNT,https://bancor.network/,https://app.bancor.network/eth/data,https://docs.bancor.network/ethereum-contracts/addresses,https://www.coingecko.com/en/coins/bancor-network,https://defillama.com/protocol/bancor,https://dune.xyz/projects/bancor,,https://storage.googleapis.com/website-bancor/2018/04/01ba8253-bancor_protocol_whitepaper_en.pdf,https://github.com/bancorprotocol,https://docs.bancor.network/,https://twitter.com/Bancor,https://discord.com/invite/2ynKu8h5uV,https://t.me/bancor,https://bancor.medium.com/,dex,amm,,
10,Compound,compound-governance-token,"Compound is a decentralized autonomous interest rate protocol. It allows people to lend and borrow their cryptocurrencies, and establishes money markets by algorithmically setting interest rates based on supply and demand of various assets. Its native token is COMP, allowing holders to propose and vote on changes made to the protocol.",https://assets.coingecko.com/coins/images/10775/thumb/COMP.png?1592625425,COMP,https://compound.finance/,https://app.compound.finance/,https://compound.finance/docs#networks,https://www.coingecko.com/en/coins/compound,https://defillama.com/protocol/compound,https://dune.xyz/projects/compound,,https://compound.finance/documents/Compound.Whitepaper.pdf,https://github.com/compound-finance,https://compound.finance/docs,https://twitter.com/compoundfinance,https://discord.com/invite/cU7vmVW,,https://medium.com/compound-finance,yield,,,
