name,description,token_image_url,ticker,website_url,webapp_url,contract_url,coingecko_url,llama_url,dune_url,rekt_url,whitepaper_url,github_url,docs_url,twitter_url,discord_url,telegram_url,medium_url,tag1,tag2,tag3,tag4,chain 1,chain 2,chain 3,chain 4,chain 5
WBTC,Wrapped Bitcoin is an ERC-20 token on the Ethereum blockchain that represents Bitcoin. Each WBTC is backed 1:1 with Bitcoin.,https://assets.coingecko.com/coins/images/7598/small/wrapped_bitcoin_wbtc.png?1548822744,WBTC,https://wbtc.network/,,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,https://www.coingecko.com/en/coins/wrapped-bitcoin,https://defillama.com/protocol/wbtc,,,https://wbtc.network/assets/wrapped-tokens-whitepaper.pdf,,,https://twitter.com/WrappedBTC,,,,defi,,,,,,,,
mStable,Meta (MTA) is the governance token of the mStable ecosystem. mStable is currently under the process of decentralizing its operations to create a robust community...,https://assets.coingecko.com/coins/images/11846/small/mStable.png?1594950533,MTA,https://mstable.org/,https://mstable.app/,https://etherscan.io/token/0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,https://www.coingecko.com/en/coins/meta,https://defillama.com/protocol/mstable,,,,https://github.com/mstable,,https://twitter.com/mstable_,https://discord.com/invite/pgCVG7e,https://t.me/mstableofficial,,defi,,,,,,,,
Loopring,Loopring is a zkRollup Layer2 protocol for Trading and Payment on the Ethereum network,https://assets.coingecko.com/coins/images/913/small/LRC.png?1572852344,LRC,https://loopring.org/#/,https://app.loopring.io/#/layer2,https://etherscan.io/token/0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,https://www.coingecko.com/en/coins/loopring,https://defillama.com/protocol/loopring,https://dune.xyz/projects/loopring,,,https://github.com/Loopring,,https://twitter.com/loopringorg,,https://t.me/loopring_en,https://medium.com/loopring-protocol,dex,amm,,,,,,,
Hegic,Hegic is a decentralized on-chain protocol which allows users to purchase American call and put options on Ether (ETH) and Wrapped Bitcoin (WBTC). They may also choose to act as liquidity providers...,https://assets.coingecko.com/coins/images/12454/small/new.png?1628668523,HEGIC,https://www.hegic.co/,https://www.hegic.co/app.html#/,https://etherscan.io/token/0x584bc13c7d411c00c01a62e8019472de68768430,https://www.coingecko.com/en/coins/hegic,https://defillama.com/protocol/hegic,,,https://www.hegic.co/assets/img/f833742b60c73b71520647d2594733b8.pdf,https://github.com/hegic,,https://twitter.com/HegicOptions,https://discord.com/invite/znjdj8q,https://t.me/HegicOptions,https://medium.com/hegic,,,,,,,,,
Harvest Finance,Harvest Finance is an automatic yield farming protocol that helps traders take advantage of the latest DeFi platforms with the highest yield.,https://assets.coingecko.com/coins/images/12304/small/Harvest.png?1613016180,FARM,,https://harvest.finance/,https://etherscan.io/token/0xa0246c9032bC3A600820415aE600c6388619A14D,https://www.coingecko.com/en/coins/harvest-finance,https://defillama.com/protocol/harvest-finance,,,,https://github.com/harvest-finance,,https://twitter.com/harvest_finance,https://discord.com/invite/gzWAG3Wx7Y,https://t.me/Breadforthepeople,https://medium.com/harvest-finance,,,,,,,,,
RenVM,"Ren Protocol is a permissionless and trustless protocol that allows users to transfer tokens across different blockchains. Ren’s core product, RenVM is focused on building an interoperability solution for Decentralized Finance (DeFi).",https://assets.coingecko.com/coins/images/3139/small/REN.png?1589985807,REN,https://renproject.io/,,https://etherscan.io/token/0x408e41876cccdc0f92210600ef50372656052a38,https://www.coingecko.com/en/coins/ren,https://defillama.com/protocol/renvm,,,https://github.com/renproject/ren/wiki,https://github.com/renproject,https://docs.renproject.io/developers,,,https://t.me/renproject,https://medium.com/renproject,,,,,,,,,
imToken,,,,,,,,https://defillama.com/protocol/imtoken,,,,,,,,,,,,,,,,,,
BarnBridge,BarnBridge is a fluctuations derivatives protocol for hedging yield sensitivity and market price.,https://assets.coingecko.com/coins/images/12811/small/barnbridge.jpg?1602728853,BOND,https://barnbridge.com/,https://app.barnbridge.com/,https://etherscan.io/token/0x0391D2021f89DC339F60Fff84546EA23E337750f,https://www.coingecko.com/en/coins/barnbridge,https://defillama.com/protocol/barnbridge,https://dune.xyz/projects/barnbridge,,,https://github.com/BarnBridge/,https://docs.barnbridge.com/,https://twitter.com/barn_bridge,https://discord.com/invite/FfEhsVk,,https://medium.com/barnbridge,,,,,,,,,
hBTC,"Launched by Huobi Global and deployed on the Ethereum network, Huobi BTC (HBTC)token aims to promote the growth of the decentralized marketplace by injecting Bitcoin (BTC), the largest and most liquid asset, into the decentralized finance (DeFi) eco-system. ",https://assets.coingecko.com/coins/images/12407/small/Unknown-5.png?1599624896,HBTC,https://www.hbtc.finance/,,https://etherscan.io/token/0x0316EB71485b0Ab14103307bf65a021042c6d380,https://www.coingecko.com/en/coins/huobi-btc,https://defillama.com/protocol/hbtc,,,https://www.htokens.finance/static/pdf/whitepaper-en.pdf,,,https://twitter.com/HuobiGlobal,,https://t.me/huobiglobalofficial,,,,,,,,,,
Shell Protocol,"Deposit your stablecoins into Shell Protocols liquidity pools and receive shells, a natively liquid, diversified and yield bearing asset.",,,https://www.shellprotocol.io/,https://www.shells.exchange/,,,https://defillama.com/protocol/shell-protocol,,,https://github.com/cowri/shell-solidity-v1/blob/master/Shell_White_Paper_v1.0.pdf,https://github.com/cowri,,https://twitter.com/shellprotocol,https://discord.com/invite/ZqMJPr4,https://t.me/shellprotocol,,,,,,,,,,
